ID,Title,Description,Phase,Epic,Labels,Estimate,Priority
P5-04,Match incoming results to TestCase records,"Test result <-> TestCase matching: map an incoming externalTestId to an existing TestCase.source record; surface unmatched results for manual linking.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",3,High
P5-05,Flaky test detection,"Flaky test detection: flag a TestCase as flaky when its results alternate PASS/FAIL across runs on the same commit/branch beyond a threshold.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",1,Medium
P5-06,Coverage data ingestion,"Coverage data ingestion (Istanbul/nyc, coverage.py, JaCoCo) - separate from pass/fail results, feeds release-readiness coverage-gap logic.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",3,High
P5-15,Failure evidence capture (screenshot/video),"A thin reporter/plugin for major front-end test runners (Playwright, Cypress, WebdriverIO) that captures a screenshot/rolling video buffer on every run but only uploads as a TestResultArtifact when the test fails. Passing runs discard the capture. Headless runs simply produce nothing. Schema already in place; this is the runner-side capture + ingestion upload path.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",3,High
P5-14,Continuous coverage listening (auto-reverse-engineer unmatched CI results),"When a TestResult arrives with no TestCaseSource match, fetch its source via the repo connector and auto-enqueue a scoped ReverseEngineerJob (CI_UNMATCHED_RESULT) instead of just queuing it for manual linking. The resulting TestCase enters the normal AI-review queue, and its TestCaseSource.externalTestId is set on success so the next run matches immediately. Turns reverse-engineering into a standing guarantee instead of an opt-in action.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, area:ai, type:feature",5,High
P5-07,Native JS/TS test structure parser,"Native JS/TS parser (via @babel/parser or ts-morph) for Jest/Vitest/Mocha structure extraction, then hands only extracted structure to the AI agent for BDD phrasing.",Phase 5 - Execution Ingestion & Framework Evaluators,5.2 Native framework evaluators,"area:ai, type:feature, perf",5,Medium
P5-08,Native Python test structure parser,"Native Python parser (ast module via a small Python microservice, or a JS-side heuristic) for pytest structure extraction.",Phase 5 - Execution Ingestion & Framework Evaluators,5.2 Native framework evaluators,"area:ai, type:feature",5,Medium
P5-09,Native JUnit/TestNG structure parser,"Native JUnit/TestNG (Java) annotation-based extraction.",Phase 5 - Execution Ingestion & Framework Evaluators,5.2 Native framework evaluators,"area:ai, type:feature",3,Low
P5-10,Native Cypress/Playwright structure parser,"Cypress/Playwright structural extraction (likely shares the JS parser with framework-specific step detection for cy.*/page.* calls).",Phase 5 - Execution Ingestion & Framework Evaluators,5.2 Native framework evaluators,"area:ai, type:feature",3,Low
P5-11,Framework evaluator plugin registry,"Framework evaluator registry/interface so adding a new native evaluator is a plugin, not a router change.",Phase 5 - Execution Ingestion & Framework Evaluators,5.2 Native framework evaluators,"area:core, type:architecture",3,Medium
P5-12,Teach-the-platform custom framework flow,"Teach the platform your framework flow: user provides example test files from a custom framework; the agent infers the structural pattern and stores it as a reusable per-project heuristic.",Phase 5 - Execution Ingestion & Framework Evaluators,5.3 Custom framework evaluation,"area:ai, type:feature",3,Medium
P5-13,Graduate custom framework to saved evaluator,"Custom framework confidence tracking + prompt to graduate a well-understood custom framework into a saved evaluator config.",Phase 5 - Execution Ingestion & Framework Evaluators,5.3 Custom framework evaluation,"area:ai, type:feature",1,Low
P6-01,GitHub App with PR webhooks,"GitHub App: install on a repo, receive pull_request webhooks (opened/synchronize), verify webhook signatures.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"integration:github, type:feature, area:api",5,High
P6-02,Diff analysis to find affected test cases,"Diff analysis: fetch changed files for a PR, map file paths to existing TestCaseSource.filePaths to find directly-affected test cases.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"area:api, type:feature",3,High
P6-03,Coverage-gap RiskFlag creation from PR diffs,"Coverage-gap detection: changed files/functions with no mapped TestCaseSource -> create a RiskFlag (PR_SCAN_COVERAGE_GAP) with severity based on file criticality.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"area:api, type:feature",5,High
P6-04,AI-assisted test plan recommendation from diff,"AI-assisted test plan recommendation: given the diff, ask the agent which existing test plans are relevant and whether new test cases are warranted.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"area:ai, type:feature",5,High
P6-05,PR comment bot with recommendations,"PR comment bot: post the recommendation (relevant test plans, coverage gaps, suggested new test cases) as a GitHub PR comment.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"integration:github, type:feature",3,Medium
P6-06,Configurable PR scan policy per project,"Configurable PR scan policy per project (which branches trigger scans, risk-weighting rules, comment vs. silent-flag-only mode).",Phase 6 - Smart PR Scanning,6.0 PR scanning,"area:web, type:feature",1,Medium
P6-07,GitLab merge request scanning,"GitLab equivalent (merge request webhooks) - mostly adapter work if the GitHub path is built with the provider abstracted.",Phase 6 - Smart PR Scanning,6.0 PR scanning,"integration:gitlab, type:feature",3,Low
P7-01,Release management UI,"Release management UI: create/manage Releases, attach TestPlans (including a release-readiness typed plan) and acceptance criteria.",Phase 7 - Release Readiness Dashboard,7.1 Release model & acceptance tracking,"area:web, type:feature",3,High
P7-02,Auto-computed acceptance criteria status,"Live acceptance-criteria status: each AcceptanceCriterion auto-computes MET/NOT_MET/AT_RISK from underlying test results rather than requiring manual status updates.",Phase 7 - Release Readiness Dashboard,7.1 Release model & acceptance tracking,"area:api, type:feature",3,High
P7-03,Release readiness score,"Release readiness score: single rollup number/traffic-light per release from criteria status + open risk flags + compliance control coverage.",Phase 7 - Release Readiness Dashboard,7.1 Release model & acceptance tracking,"area:api, type:feature",1,High
P7-04,Release readiness dashboard page,"Release readiness dashboard page: readiness score, acceptance criteria checklist, open risk flags, trend vs. previous releases.",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"area:web, type:feature",5,High
P7-05,Dashboard drill-down to source,"Granular drill-down: from the dashboard, click into any risk flag/failing test/uncovered file down to the actual TestCase/TestCaseSource.",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"area:web, type:feature",3,Medium
P7-06,Org-level holistic readiness view,"Holistic cross-project view: an org-level dashboard rolling up readiness across all projects/releases.",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"area:web, type:feature",3,Low
P7-07,Release-to-release trend charts,"Release-to-release trend charts: pass rate, flaky test count, coverage %, mean time-to-green over the last N releases.",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"area:web, type:feature",3,Medium
P7-08,Configurable release gates,"Configurable release gates: block a release status from moving to READY while criteria are unmet (soft warning vs. hard block, per-org policy).",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"area:api, type:feature",1,Medium
P7-09,Slack/email release readiness digest,"Slack/email digest: daily or pre-release readiness summary pushed to a channel.",Phase 7 - Release Readiness Dashboard,7.2 Dashboard,"integration:slack, type:feature",3,Low
P8-01,Mobile auth,"Auth in mobile (shares Phase 1's auth, native login flow).",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",3,Medium
P8-02,Mobile test case detail/BDD view,"Test case detail + BDD view in mobile (parity with web's detail page).",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",3,Medium
P8-03,Mobile release readiness dashboard,"Release readiness dashboard, mobile-adapted view - highest-value mobile use case is checking release status from your phone.",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",5,Medium
P8-04,Mobile push notifications,"Push notifications for release-readiness state changes / compliance sign-off requests.",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",3,Low
P8-05,Mobile approval flows,"Mobile approval flows: compliance sign-off and AI-reverse-engineered test case review, approvable from mobile.",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",3,Low
P8-06,Mobile offline read caching,"Offline-friendly read caching for test case browsing (spotty connectivity shouldn't blank the app).",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:feature",1,Low
P8-07,App store submission prep,"App store submission prep (iOS/Android): icons, splash, privacy manifest, EAS build config.",Phase 8 - Mobile Parity,8.0 Mobile parity,"area:mobile, type:infra",3,Low
P9-01,Jira requirement sync,"Jira integration: link Requirements to Jira issues bidirectionally, sync status.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"integration:jira, type:feature",3,Medium
P9-02,Linear requirement sync,"Linear integration: link Requirements to Linear issues bidirectionally, sync status.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"integration:linear, type:feature",3,Medium
P9-03,Slack event notifications,"Slack notifications: configurable events (new risk flag, review-queue item, sign-off request) -> Slack channel.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"integration:slack, type:feature",1,Medium
P9-04,Datadog/PagerDuty incident linkage,"Connect a production incident to the test plan/case that should have caught it, closing the loop from incident -> coverage gap -> new test case.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"integration:datadog, integration:pagerduty, type:feature",3,Low
P9-05,Public API + OpenAPI docs,"Public API + API docs (OpenAPI/tRPC-to-OpenAPI) for orgs wanting to build their own integrations.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"area:api, type:feature",5,Low
P9-06,Outbound webhook system,"Webhook system (outbound) so external systems can react to platform events without polling.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"area:api, type:feature",3,Low
P9-07,Zapier/Make.com app,"Zapier/Make.com app listing, once the webhook system exists - only worth it after real integration demand shows up.",Phase 9 - Integrations & Ecosystem,9.0 Integrations,"integration:zapier, type:feature",5,Low
P10-01,Begin SOC 2 control implementation for the platform,"The platform will itself need SOC 2. Start control implementation early - logging, access review, vendor management - not as an afterthought.",Phase 10 - Platform Hardening,10.1 Security & compliance,"compliance, type:infra",5,High
P10-02,Move secrets to a real secrets manager,"Secrets management audit: ANTHROPIC_API_KEY, GitHub App private key, DB credentials - move from .env to a proper secrets manager before any production deploy.",Phase 10 - Platform Hardening,10.1 Security & compliance,"type:security, type:infra",3,High
P10-03,Dependency/vulnerability scanning in CI,"Dependency/vulnerability scanning in CI (npm audit/Snyk/Dependabot) - flag before it's a customer-facing incident.",Phase 10 - Platform Hardening,10.1 Security & compliance,"type:security, type:infra",1,High
P10-04,Rate limiting & abuse protection on public endpoints,"Rate limiting + abuse protection on public-facing endpoints, especially the AI reverse-engineering endpoint (direct line to a paid LLM API).",Phase 10 - Platform Hardening,10.1 Security & compliance,"type:security, area:api",3,High
P10-05,Structured logging + error tracking,"Structured logging + error tracking (Sentry) across api/web/mobile.",Phase 10 - Platform Hardening,10.2 Observability & reliability,"type:infra",3,Medium
P10-06,Metrics/tracing with OpenTelemetry,"Metrics/tracing (OpenTelemetry), especially around AI agent latency/cost, since that's the most expensive and most failure-prone path.",Phase 10 - Platform Hardening,10.2 Observability & reliability,"type:infra",3,Medium
P10-07,Uptime/health checks + alerting,"Uptime/health checks + alerting for the API and the job worker.",Phase 10 - Platform Hardening,10.2 Observability & reliability,"type:infra",1,Medium
P10-08,Database backup/restore runbook,"Database backup/restore runbook + tested recovery process - before there's real customer data to lose.",Phase 10 - Platform Hardening,10.2 Observability & reliability,"type:infra",3,High
P10-09,Production deployment pipeline,"Production deployment pipeline (Vercel for web, Fly.io/Render/ECS for api+worker, EAS for mobile) with staging + prod environments.",Phase 10 - Platform Hardening,10.3 Deployment & DX,"type:infra",3,High
P10-10,Extend CI to lint/test/integration,"Extend the current typecheck-only workflow to run lint, unit tests, and integration tests against a real Postgres service container.",Phase 10 - Platform Hardening,10.3 Deployment & DX,"type:infra, dx",3,Medium
P10-11,API and AI agent test suite,"Unit + integration test suite for the API routers and the AI agent's parsing logic.",Phase 10 - Platform Hardening,10.3 Deployment & DX,"type:testing, dx",5,High
P10-12,Local dev docs and one-command setup,"Local dev docs: one-command local setup (docker-compose for Postgres + Redis once the job queue exists), contribution guide.",Phase 10 - Platform Hardening,10.3 Deployment & DX,"dx",1,Low
P10-13,Shared UI/design system package,"Design system / shared UI package (packages/ui) once web has enough screens that inconsistency becomes visible - don't build speculatively before then.",Phase 10 - Platform Hardening,10.3 Deployment & DX,"area:web, type:tech-debt",3,Low
P11-01,Generic ImportJob model + pipeline,"Generic ImportJob model + pipeline: source enum, status tracking, field-mapping config stored as JSON, dedupe-by-external-id - the shared foundation every source-specific importer plugs into.",Phase 11 - Migration & Import,11.1 Import pipeline foundation,"area:db, area:api, type:feature",5,High
P11-02,Field-mapping UI for imports,"Field-mapping UI: preview parsed records against target TestCase/TestPlan fields, let the user adjust mapping and custom-field targets before committing - nothing writes until confirmed.",Phase 11 - Migration & Import,11.1 Import pipeline foundation,"area:web, type:feature",3,High
P11-03,TestRail importer,"TestRail importer: cases/suites/sections -> TestPlan/TestCase, runs/results -> TestRun/TestResult, via TestRail's REST API. Build first - best-documented API in the category, lowest-risk way to prove the import pipeline.",Phase 11 - Migration & Import,11.2 Source-specific importers,"area:api, integration, type:feature",5,High
P11-04,Zephyr Scale importer,"Zephyr Scale (Jira) importer: test cases/cycles/executions via the Zephyr Scale REST API v2, folder structure -> TestPlan hierarchy. Highest-complaint-volume source platform, so highest-value migration target.",Phase 11 - Migration & Import,11.2 Source-specific importers,"area:api, integration, type:feature",5,High
P11-05,Xray importer,"Xray (Jira) importer: bulk CSV/JSON export via a JQL query -> TestCase/TestPlan. Automation result ingestion already covered by Phase 5's generic Cucumber/JUnit/NUnit ingestion.",Phase 11 - Migration & Import,11.2 Source-specific importers,"area:api, integration, type:feature",3,Medium
P11-06,qTest importer,"qTest importer: test-cases/test-runs/test-logs resources via the qTest REST API v3, module hierarchy -> TestPlan hierarchy.",Phase 11 - Migration & Import,11.2 Source-specific importers,"area:api, integration, type:feature",5,Medium
P11-07,Generic CSV/Excel importer,"Generic CSV/Excel importer with a reusable column-mapping template - the catch-all for PractiTest, TestLink, and any spreadsheet-tracked suite without a first-class importer.",Phase 11 - Migration & Import,11.2 Source-specific importers,"area:api, area:web, type:feature",3,High
P11-08,Historical run-data backfill,"Historical run-data backfill: import pass/fail execution history with original timestamps (not import date), so pass-rate trends, flaky-test detection, and release-to-release charts aren't empty or skewed on day one.",Phase 11 - Migration & Import,11.3 Historical run data,"area:api, type:feature",5,High
P11-09,Post-import diff/summary report,"Post-import diff/summary report: what imported cleanly, what was skipped or ambiguous and needs manual review, what dedupe collisions were found.",Phase 11 - Migration & Import,11.4 Migration UX,"area:web, type:feature",3,Medium
P11-10,Migration assistant wizard,"Migration assistant wizard: connect source credentials -> scope preview (counts) -> field mapping -> import -> diff report, as one guided flow rather than disconnected tools.",Phase 11 - Migration & Import,11.4 Migration UX,"area:web, type:feature",3,Medium
P11-11,Import job re-run/incremental sync,"Import job re-run/incremental sync: re-running an import against the same source only pulls new/changed records - supports running in parallel with the old tool during a phased migration instead of forcing a hard cutover.",Phase 11 - Migration & Import,11.4 Migration UX,"area:api, type:feature",1,Medium
P12-01,Seat management UI,"Seat management UI: org settings page listing members, their role, and seat type (full/read-only), with add/remove/change-seat-type actions gated through canAddSeat.","Phase 12 - Billing, Plans & Seats",12.1 Seat management,"area:web, type:feature",3,High
P12-02,Seat invite flow,"Invite flow: invite by email to a specific role + seat type; invite acceptance creates the Membership only after canAddSeat passes, with a clear seat-limit-reached state rather than a silent failure.","Phase 12 - Billing, Plans & Seats",12.1 Seat management,"area:web, area:api, type:feature",3,High
P12-03,Read-only seat UI enforcement,"Read-only seat UI enforcement: a VIEWER-role, READ_ONLY-seat member should not see edit/create affordances anywhere in the UI, not just be blocked server-side.","Phase 12 - Billing, Plans & Seats",12.1 Seat management,"area:web, type:feature",1,Medium
P12-04,Plan upgrade/downgrade flow,"Plan upgrade/downgrade flow: changing Organization.planTierId, validated against current seat counts - can't downgrade below what's actually seated, surface which seats would need removal first.","Phase 12 - Billing, Plans & Seats",12.2 Plan lifecycle,"area:api, area:web, type:feature",3,Medium
P12-05,Payment provider integration,"Payment provider integration (Stripe assumed pending final decision) once pricing is set: subscription creation, seat-count-driven quantity updates, webhook-driven plan sync. Blocked on cost-structure decision, not engineering sequencing.","Phase 12 - Billing, Plans & Seats",12.2 Plan lifecycle,"area:api, integration, type:feature",5,Medium
P12-06,Seat usage dashboard,"Usage/seat-count dashboard for org admins: seats used vs included at this tier, with a clear upgrade prompt before someone hits a wall mid-invite.","Phase 12 - Billing, Plans & Seats",12.2 Plan lifecycle,"area:web, type:feature",1,Medium
P12-07,Feature-flag-by-tier plumbing,"Feature-flag-by-tier plumbing: a simple planTier.key -> feature flag set lookup (data, not scattered if checks) so specific tiers can gate specific feature sets once mapped.","Phase 12 - Billing, Plans & Seats",12.3 Plan-gated features & data retention,"area:api, type:architecture",3,Low
P12-08,Data retention enforcement job,"Data retention enforcement job: a scheduled job that purges/archives data older than Organization.dataRetentionYears (default 5) - evidence, audit logs, test results. Needs a dry-run mode and its own audit trail before trusted to run automatically.","Phase 12 - Billing, Plans & Seats",12.3 Plan-gated features & data retention,"area:api, compliance, type:feature",5,High
P12-09,Retention policy in compliance UI,"Retention policy surfaced in the compliance UI: show an org's actual configured retention window next to the evidence/audit views it governs, so it isn't a number nobody can see outside the database.","Phase 12 - Billing, Plans & Seats",12.3 Plan-gated features & data retention,"area:web, compliance",1,Medium
